ID	iBAQ.B_bacteriovorus_WCE1_TR01	iBAQ.B_bacteriovorus_WCE1_TR02	iBAQ.B_bacteriovorus_WCE2_TR01	iBAQ.B_bacteriovorus_WCE2_TR02	PFAM_DNA_binding.x	Nuc_vs_Top_ratio	Final_Localization
CAE78363.1	16027000	14726000	24350000	17053000	0	1.17	Unknown
CAE78365.1	123390000	108010000	125480000	134580000	0	-0.947	Unknown
CAE78366.1	861210	1238000	1305100	1064400	NA	NA	Cytoplasmic
CAE78368.1	56393000	47243000	53720000	52584000	0	-3.36	Cytoplasmic
CAE78370.1	3095500	3053900	3531500	2282700	0	-0.363	Cytoplasmic
CAE78374.1	NA	NA	NA	NA	0	1.84	Unknown
CAE78375.1	0	0	0	629740	NA	NA	NA
CAE78376.1	0	0	609940	330700	NA	NA	Cytoplasmic
CAE78380.1	8584700	10648000	7034200	12176000	0	-2.73	Unknown
CAE78381.1	198510000	210710000	228380000	233940000	0	2.47	NA
CAE78384.1	23849000	29355000	32896000	32424000	0	-0.479	NA
CAE78385.1	9221600	9685600	12107000	10553000	0	0.218	Unknown
CAE78388.1	NA	NA	NA	NA	0	0.0986	NA
CAE78391.1	116370000	116590000	115460000	126860000	0	-1.17	Cytoplasmic
CAE78392.1	75629000	78711000	88136000	84036000	0	-1.87	Cytoplasmic
CAE78393.1	15173000	16667000	19254000	16540000	0	-0.0678	Unknown
CAE78394.1	27897000	28783000	31131000	33762000	0	-0.87	Cytoplasmic
CAE78395.1	162040000	187880000	184640000	184720000	0	3.51	Periplasmic
CAE78397.1	158060000	176340000	163050000	194410000	0	3.67	Unknown
CAE78400.1	NA	NA	NA	NA	0	NA	Unknown
CAE78401.1	NA	NA	NA	NA	0	-0.422	Outer Membrane
CAE78408.1	5245000	7146100	8798300	8731900	1	-0.294	Cytoplasmic
CAE78409.1	12719000	13511000	13939000	14943000	0	0.654	Cytoplasmic Membrane
CAE78410.1	32095000	31312000	30441000	30999000	0	0.855	Cytoplasmic
CAE78411.1	282110000	312540000	437290000	434910000	0	5.51	Unknown
CAE78413.1	9052700000	1.04E+10	1.30E+10	1.38E+10	0	5.06	Unknown
CAE78415.1	571640	561820	945700	329710	1	1.51	NA
CAE78423.1	25591000	25621000	24053000	27930000	1	3.13	Unknown
CAE78425.1	332380	277920	1008900	307050	0	1.7	Cytoplasmic Membrane
CAE78426.1	734420	587300	894610	883890	0	3.05	Cytoplasmic Membrane
CAE78427.1	19067000	24554000	24675000	26808000	0	-1.78	Unknown
CAE78429.1	629050	609860	777300	229630	0	NA	NA
CAE78431.1	79096	68155	85895	80453	NA	NA	Unknown
CAE78433.1	1108100	1837400	1784900	1887500	0	-1.44	Cytoplasmic
CAE78434.1	9119200	8951400	10651000	10374000	0	-3	Cytoplasmic
CAE78436.1	15830000	15403000	10618000	16509000	0	3.37	Periplasmic
CAE78437.1	NA	NA	NA	NA	0	-3	Unknown
CAE78439.1	47637000	51125000	60307000	52340000	0	-1.36	Cytoplasmic
